BOTTLE,20210219CCHSIOCBG
320620170820,        P06,     144,          2,         25,         25,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   300.8,  10.4644,  34.6422,2,  34.6262,2, 213.0526,2, 216.6849,2,     2.5,2,   14.21,2,    0.00,2,    1.02,2,   3.078,2,   1.822,2,   1.1599,2,  2128.4,2,  2290.9,2,   7.7652,2,    25.00,  -999.0,9,  -999.0,    45.6,2,   16.60,2,     -999.0,1, 20170825,      312, -32.4999,-148.9695,        0.0,1,      0.059,1,      4.694,1,      0.134,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.3072,2
320620170820,        P06,     144,          2,         26,         26,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   251.2,  12.3228,  34.8532,2,  34.8379,2, 211.8218,2, 215.9901,2,     1.4,2,    9.17,2,    0.00,2,    0.70,2,   2.865,2,   1.733,2,   1.4439,2,  2115.6,2,  2299.4,2,   7.8154,2,    25.00,  -999.0,9,  -999.0,    52.3,3,   11.00,2,     -999.0,1, 20170825,      315, -32.4998,-148.9696,        0.0,1,      0.062,1,      4.692,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    12.1532,2
320620170820,        P06,     144,          2,         27,         27,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   201.8,  13.8462,  35.0765,2,  35.1059,2, 213.4055,2, 219.4529,2,     0.8,2,    4.97,2,    0.02,2,    0.44,2,   2.453,2,   1.599,2,   1.4109,2,  2100.8,2,  2311.5,2,   7.8671,2,    25.00,  -999.0,9,  -999.0,    50.4,2,    7.60,2,     -999.0,1, 20170825,      317, -32.4996,-148.9698,        0.0,1,      0.063,1,      4.689,1,      0.134,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.0637,2
320620170820,        P06,     144,          2,         28,         28,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   151.2,  15.9330,  35.3116,2,  35.3265,2, 240.5765,2, 236.6354,2,     0.1,2,    0.51,2,    0.08,2,    0.17,2,   2.298,2,   1.480,2,   1.4429,2,  2074.0,2,  2324.5,2,   7.9415,2,    25.00,  -999.0,9,  -999.0,    57.6,2,    5.20,2,     -999.0,1, 20170825,      320, -32.4995,-148.9698,        0.0,1,      0.116,1,      4.667,1,      0.167,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    16.0202,2
320620170820,        P06,     144,          2,         29,         29,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   101.6,  16.4432,  35.4092,2,  35.4395,2, 243.3635,2, 237.8794,2,     0.1,2,    0.15,2,    0.03,2,    0.11,2,   2.244,2,   1.436,2,   1.4609,2,  2068.3,2,  2329.9,2,   7.9589,2,    25.00,  -999.0,9,  -999.0,    63.4,2,    4.60,2,     -999.0,1, 20170825,      322, -32.4996,-148.9697,        0.0,1,      0.188,1,      4.640,1,      0.199,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    16.5704,2
320620170820,        P06,     144,          2,         31,         31,2,20170825,       0045,   -32.4997,  -148.9698,       5217,    85.2,  16.5389,  35.4318,2,-999.0000,9, 232.7196,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      325, -32.4997,-148.9697,        0.0,1,      0.201,1,      4.633,1,      0.201,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    16.5815,2
320620170820,        P06,     144,          2,         30,         30,2,20170825,       0045,   -32.4997,  -148.9698,       5217,    84.4,  16.5389,  35.4318,2,-999.0000,9, 232.7817,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      324, -32.4997,-148.9697,        0.0,1,      0.201,1,      4.633,1,      0.201,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    16.5870,2
320620170820,        P06,     144,          2,         32,         32,2,20170825,       0045,   -32.4997,  -148.9698,       5217,    74.0,  16.6461,  35.4613,2,  35.4687,2, 243.2907,2,  237.644,2,     0.1,2,    0.12,2,    0.03,2,    0.11,2,   2.263,2,   1.460,2,   1.4449,2,  2068.7,2,  2334.4,2,   7.9615,2,    25.00,  -999.0,9,  -999.0,    59.9,2,    4.80,2,     -999.0,1, 20170825,      326, -32.5000,-148.9696,        0.0,1,      0.194,1,      4.636,1,      0.191,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    16.6597,2
320620170820,        P06,     144,          2,         33,         33,2,20170825,       0045,   -32.4997,  -148.9698,       5217,    50.5,  16.6033,  35.4348,2,  35.4387,3, 245.9284,2, 239.6506,2,     0.1,2,    0.03,2,    0.02,2,    0.11,2,   2.374,2,   1.437,2,   1.4339,2,  2065.3,2,  2331.7,6,   7.9648,2,    25.00,  -999.0,9,  -999.0,    59.2,2,    3.70,2,     -999.0,1, 20170825,      328, -32.5001,-148.9696,        0.0,1,      0.167,1,      4.627,1,      0.200,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    16.7789,2
320620170820,        P06,     144,          2,         34,         34,2,20170825,       0045,   -32.4997,  -148.9698,       5217,    39.4,  16.8625,  35.4424,2,-999.0000,9, 233.1698,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      330, -32.5001,-148.9696,        0.0,1,      0.141,1,      4.610,1,      0.226,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    16.9204,2
320620170820,        P06,     144,          2,         35,         35,2,20170825,       0045,   -32.4997,  -148.9698,       5217,    24.7,  17.0798,  35.4619,2,  35.4642,2,  247.209,2, 238.8957,2,     0.1,2,    0.00,2,    0.00,2,    0.11,2,   2.242,2,   1.415,2,   1.5659,2,  2063.0,2,  2328.5,2,   7.9720,2,    25.00,  -999.0,9,  -999.0,    61.9,2,    3.80,2,     -999.0,1, 20170825,      332, -32.4998,-148.9697,        0.0,1,      0.113,1,      4.605,1,      0.221,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.0383,2
320620170820,        P06,     144,          2,         36,         36,2,20170825,       0045,   -32.4997,  -148.9698,       5217,     5.4,  17.1089,  35.4638,2,  35.4614,2, 247.0536,2, 238.7762,2,     0.1,2,    0.00,2,    0.00,2,    0.11,2,   2.244,2,   1.423,2,   1.4519,2,  2063.4,6,  2329.0,2,   7.9709,2,    25.00,  -999.0,9,  -999.0,    59.7,2,    3.80,2,     -999.0,1, 20170825,      334, -32.4997,-148.9698,        0.0,1,      0.081,1,      4.603,1,      0.215,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.0260,2
320620170820,        P06,     145,          1,          1,          1,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  4702.3,   1.2713,  34.7045,2,  34.7068,3, 194.7134,3, 196.2827,2,   119.7,2,   32.67,2,    0.00,2,    2.25,2,   0.040,2,   0.038,2,   0.0000,2,  2272.1,6,  2377.9,2,   7.6066,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      930, -32.5003,-148.1794,        0.0,1,      0.060,1,      4.697,1,      0.123,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2716,2
320620170820,        P06,     145,          1,          2,          2,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  4529.1,   1.2591,  34.7047,2,  34.7054,3, 194.7134,3, 195.7861,2,   119.9,2,   32.69,2,    0.00,2,    2.27,2,   0.038,2,   0.038,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      935, -32.5004,-148.1793,        0.0,1,      0.061,1,      4.698,1,      0.123,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2592,2
320620170820,        P06,     145,          1,          3,          3,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  4371.9,   1.2627,  34.7037,2,  34.7052,3, 194.8523,3, 193.5723,2,   119.9,2,   32.72,2,    0.00,2,    2.26,2,   0.037,2,   0.036,2,   0.0000,2,  2272.8,2,  2379.7,6,   7.6057,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      939, -32.5001,-148.1794,        0.0,1,      0.061,1,      4.698,1,      0.122,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2625,2
320620170820,        P06,     145,          1,          4,          4,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  4064.2,   1.3050,  34.7016,2,  34.7019,3, 190.4458,2, 189.5019,2,   120.6,2,   33.04,2,    0.00,2,    2.28,2,   0.036,2,   0.034,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      945, -32.4999,-148.1796,        0.0,1,      0.061,1,      4.699,1,      0.125,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3070,2
320620170820,        P06,     145,          1,          5,          5,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  3758.8,   1.3971,  34.6977,2,  34.6995,3,  183.582,2, 184.0262,2,   121.5,2,   33.40,2,    0.00,2,    2.31,2,   0.036,2,   0.035,2,   0.0000,2,  2281.7,2,  2386.3,2,   7.5993,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      953, -32.5001,-148.1795,        0.0,1,      0.061,1,      4.699,1,      0.124,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3847,2
320620170820,        P06,     145,          1,          6,          6,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  3452.8,   1.5218,  34.6901,2,  34.6908,3,  173.844,2, 173.1521,2,   123.9,2,   34.09,2,    0.00,2,    2.35,2,   0.034,2,   0.035,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1001, -32.5001,-148.1795,        0.0,1,      0.061,1,      4.699,1,      0.125,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.5177,2
320620170820,        P06,     145,          1,          7,          7,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  3145.4,   1.6453,  34.6788,2,  34.6806,2,  164.308,3, 163.0857,2,   126.4,2,   34.87,2,    0.00,2,    2.40,2,   0.032,2,   0.030,2,   0.0000,2,  2302.9,2,  2400.4,2,   7.5840,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1009, -32.5001,-148.1795,        0.0,1,      0.061,1,      4.699,1,      0.124,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.6340,2
320620170820,        P06,     145,          1,          8,          8,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  2873.7,   1.7360,  34.6706,2,  34.6720,2, 158.0019,3, 156.7202,2,   127.6,2,   35.33,2,    0.00,2,    2.44,2,   0.031,2,   0.029,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1016, -32.5008,-148.1793,        0.0,1,      0.061,1,      4.699,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7216,2
320620170820,        P06,     145,          1,          9,          9,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  2617.5,   1.8264,  34.6630,2,  34.6633,2, 153.0692,2,  152.502,2,   126.2,2,   35.63,2,    0.00,2,    2.46,2,   0.029,2,   0.029,2,   0.0000,2,  2309.9,2,  2404.3,2,   7.5735,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1024, -32.5005,-148.1794,        0.0,1,      0.061,1,      4.700,1,      0.127,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8250,2
320620170820,        P06,     145,          1,         10,         10,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  2366.2,   1.9448,  34.6529,2,  34.6592,2, 150.7507,2, 150.9098,2,   121.3,2,   35.66,2,    0.00,2,    2.48,2,   0.031,2,   0.027,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1030, -32.5005,-148.1793,        0.0,1,      0.061,1,      4.700,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.9550,2
320620170820,        P06,     145,          1,         11,         11,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  2108.2,   2.1046,  34.6374,2,  34.6398,2, 151.0236,2, 152.2118,2,   114.4,2,   35.51,2,    0.00,2,    2.46,2,   0.032,2,   0.029,2,   0.0000,2,  2300.3,6,  2392.3,2,   7.5702,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1037, -32.5007,-148.1793,        0.0,1,      0.061,1,      4.700,1,      0.127,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.0992,2
320620170820,        P06,     145,          1,         12,         12,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  1886.2,   2.2957,  34.6150,2,  34.6179,2, 152.8663,2, 153.7639,2,   105.4,2,   35.27,2,    0.00,2,    2.45,2,   0.033,2,   0.027,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1043, -32.5003,-148.1795,        0.0,1,      0.061,1,      4.699,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.2758,2
320620170820,        P06,     145,          1,         13,         13,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  1682.8,   2.5259,  34.5758,2,  34.5763,2,  157.641,2, 158.8314,2,    91.1,2,   34.96,2,    0.00,2,    2.42,2,   0.044,2,   0.035,2,   0.0000,2,  2273.1,2,  2365.4,2,   7.5697,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1049, -32.5003,-148.1795,        0.0,1,      0.061,1,      4.700,1,      0.130,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.5247,2
320620170820,        P06,     145,          1,         14,         14,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  1552.4,   2.6831,  34.5444,2,  34.5400,2, 162.1448,2, 162.8679,2,    81.4,2,   34.77,2,    0.00,2,    2.41,2,   0.064,2,   0.046,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1054, -32.5006,-148.1793,        0.0,1,      0.061,1,      4.700,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.7066,2
320620170820,        P06,     145,          1,         15,         15,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  1450.8,   2.9168,  34.4967,2,  34.5040,2, 166.1731,2, 166.8676,2,    73.1,2,   34.57,2,    0.00,2,    2.39,2,   0.104,2,   0.070,2,   0.0000,2,  2253.2,2,  2343.4,2,   7.5709,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1059, -32.5006,-148.1794,        0.0,1,      0.060,1,      4.700,1,      0.130,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.8801,2
320620170820,        P06,     145,          1,         16,         16,2,20170825,       0930,   -32.4997,  -148.1799,       4623,  1347.8,   3.1545,  34.4485,2,  34.4585,2, 172.2462,2, 172.6977,2,    63.2,2,   34.24,2,    0.00,2,    2.37,2,   0.205,2,   0.125,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,     1103, -32.5001,-148.1796,        0.0,1,      0.060,1,      4.700,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.0961,2
